date,bot_type,entry_price,exit_price,pnl,exit_reason,credit_or_debit,strike_a,strike_b,strike_c,strike_d,vix,atr,adx,rsi,confluence
2023-06-15,BULLISH,4409.6201171875,4426.39990234375,710.0,EXPIRY,-2.9,4410,4420.0,0,0,14.5,41.93695355920621,38.28648388787547,61.32846652758088,4
2023-06-16,BULLISH,4434.02978515625,4409.77001953125,-271.0,EXPIRY,-2.71,4435,4445.0,0,0,13.539999961853027,46.55870610547872,39.4877703416061,72.14758944935484,4
2023-06-20,BULLISH,4388.89013671875,4389.0498046875,-278.0,EXPIRY,-2.78,4390,4400.0,0,0,13.880000114440918,45.821581749748226,40.247439375405314,56.52662769906355,3
2023-06-22,BEARISH,4368.52978515625,4381.5400390625,-258.0,EXPIRY,-2.58,4370,4360.0,0,0,12.90999984741211,43.12595334758866,21.92078924592356,42.4743769206053,2
2023-06-26,BEARISH,4339.509765625,4329.580078125,715.0,EXPIRY,-2.85,4340,4330.0,0,0,14.25,41.31546433385548,27.527166966746172,40.53483195731503,2
2023-06-27,BEARISH,4362.5,4378.1201171875,-137.5,STOP_LOSS,-2.75,4360,4350.0,0,0,13.739999771118164,40.33739981850809,30.710115038480883,36.6097069233755,3
2023-06-28,BULLISH,4381.330078125,4377.27001953125,-269.0,EXPIRY,-2.69,4380,4390.0,0,0,13.430000305175781,42.37242619687368,24.78431527036854,57.553732480145435,4
2023-06-30,BULLISH,4446.10009765625,4449.81005859375,209.00585937499997,EXPIRY,-2.72,4445,4455.0,0,0,13.59000015258789,38.83073171842956,14.561972809767315,62.041438587539254,4
2023-07-05,BULLISH,4447.68994140625,4446.64990234375,-284.0,EXPIRY,-2.84,4450,4460.0,0,0,14.180000305175781,38.224588143509315,31.317325808560174,73.88424654886934,4
2023-07-06,BULLISH,4402.60986328125,4411.41015625,332.015625,EXPIRY,-3.09,4405,4415.0,0,0,15.4399995803833,35.65864045354141,24.548461719845935,62.355779607161786,3
2023-07-07,SIDEWAYS,4424.68994140625,4398.759765625,-296.0,STOP_LOSS,1.48,4440,4445.0,4410,4405,14.829999923706055,39.140157663902556,25.420609417156374,46.09391947973518,0
